着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
7,2,4,ホウオウアリシア,牝3,54.0,横山武史,1:29.7,クビ,5.1,3.0,446(0),[東] 斎藤誠,202305010102
8,6,12,ヒロノサクセス,牡3,56.0,嶋田純次,1:30.2,3,125.0,14.0,416(0),[東] 大和田成,202305010102
9,2,3,グランドジャヌー,牡3,56.0,丸田恭介,1:30.4,1.1/2,140.9,16.0,468(0),[東] 本間忍,202305010102
10,6,11,トップビート,牡3,54.0,山田敬士,1:30.6,1.1/4,135.9,15.0,450(0),[東] 萱野浩二,202305010102
11,5,10,ノアローズ,牝3,52.0,原優介,1:30.7,1/2,24.7,8.0,446(0),[東] 天間昭一,202305010102
12,4,8,ジュレップスター,牝3,51.0,西塚洸二,1:31.6,5,13.1,5.0,422(0),[東] 清水英克,202305010102
13,4,7,フェスティヴビップ,牡3,56.0,菅原明良,1:32.0,2.1/2,39.4,10.0,506(0),[東] 清水英克,202305010102
14,3,5,ミルクブッシュ,牡3,56.0,岩部純二,1:32.3,1.3/4,100.2,13.0,472(0),[東] 奥平雅士,202305010102
15,1,2,アキノカトレア,牝3,54.0,武士沢友,1:32.5,1,78.0,12.0,446(0),[東] 田中剛,202305010102
16,7,14,タイガーシュガー,牡3,56.0,田中勝春,1:32.8,2,18.2,6.0,558(0),[東] 高橋文雅,202305010102
1,5,9,ロミオボス,牡3,56.0,ルメール,1:39.5,,2.3,1.0,466(+4),[東] 加藤征弘,202305010103
2,7,14,ラッキーコイン,牡3,56.0,戸崎圭太,1:39.8,1.3/4,6.0,3.0,478(-2),[東] 竹内正洋,202305010103
3,4,7,ヒルズカーン,牡3,56.0,吉田豊,1:39.9,3/4,29.5,8.0,474(-6),[東] 松永康利,202305010103
4,3,6,ゴンドワナ,牡3,56.0,田辺裕信,1:39.9,クビ,21.5,6.0,486(-4),[東] 小島茂之,202305010103
5,5,10,シャーンゴッセ,牡3,56.0,武豊,1:40.3,2.1/2,3.3,2.0,494(-2),[東] 蛯名正義,202305010103
6,3,5,セイルアウェイ,牡3,56.0,大野拓弥,1:40.6,1.3/4,307.1,15.0,434(0),[東] 松山将樹,202305010103
7,8,15,キタノクーヴェル,牡3,56.0,菅原明良,1:40.8,1.1/4,292.4,14.0,424(-4),[東] 本間忍,202305010103
8,7,13,カゼノハクシュウ,牡3,54.0,横山琉人,1:41.0,1.1/2,57.2,10.0,460(+8),[東] 上原博之,202305010103
9,4,8,セイウンデイスター,牡3,56.0,岩部純二,1:41.3,1.3/4,189.9,12.0,462(+4),[東] 萱野浩二,202305010103
10,8,16,エイチエヌバンピー,牡3,54.0,原優介,1:41.5,3/4,29.2,7.0,446(-2),[東] 小桧山悟,202305010103
11,1,2,ペガーズブリエ,牡3,55.0,永野猛蔵,1:41.7,1,89.9,11.0,500(+2),[東] 和田勇介,202305010103
12,6,12,ライルアケカイ,牡3,56.0,江田照男,1:41.8,3/4,260.9,13.0,454(+4),[東] 粕谷昌央,202305010103
13,1,1,フジマサメジャー,牡3,56.0,木幡巧也,1:42.1,1.3/4,19.6,5.0,488(0),[東] 菊川正達,202305010103
14,2,3,サブライムチューン,牡3,56.0,横山武史,1:42.3,1.1/4,8.7,4.0,462(-4),[東] 萩原清,202305010103
15,2,4,ミヤビラピート,牡3,56.0,丸田恭介,1:43.5,7,501.1,16.0,530(-4),[東] 高橋文雅,202305010103
16,6,11,ヴィナクローナ,牡3,56.0,石橋脩,1:43.5,クビ,41.6,9.0,460(-8),[東] 武市康男,202305010103
1,8,11,ラフエイジアン,牡3,56.0,田辺裕信,1:38.1,,3.4,2.0,462(+2),[東] 中舘英二,202305010104
2,7,9,ジャスリー,牡3,56.0,戸崎圭太,1:38.6,3,4.0,3.0,532(+8),[東] 田島俊明,202305010104
3,5,5,フリッパー,牡3,56.0,ルメール,1:38.7,3/4,8.1,5.0,500(+2),[東] 戸田博文,202305010104
4,4,4,パライバトルマリン,牝3,54.0,横山武史,1:38.7,クビ,3.4,1.0,518(+20),[東] 林徹,202305010104
5,8,12,ナチュラルハイ,牡3,55.0,永野猛蔵,1:38.9,1,143.4,11.0,472(+2),[東] 黒岩陽一,202305010104
6,6,8,オメガタキシード,牡3,56.0,横山和生,1:39.0,1/2,6.5,4.0,446(0),[西] 松永幹夫,202305010104
7,5,6,グランヒマラヤ,牡3,56.0,石川裕紀,1:39.5,3,36.2,7.0,506(-2),[東] 松山将樹,202305010104
8,2,2,ジャクソン,牡3,56.0,木幡初也,1:39.8,2,153.0,12.0,494(+2),[東] 武市康男,202305010104
9,3,3,クリニクラウン,牝3,52.0,原優介,1:39.8,アタマ,117.0,10.0,480(+4),[東] 小手川準,202305010104
10,1,1,ツインクルトーズ,牝3,54.0,木幡巧也,1:40.3,3,18.8,6.0,522(+26),[東] 牧光二,202305010104
11,6,7,トニトゥルス,牡3,56.0,大野拓弥,1:41.4,7,66.2,9.0,478(-4),[東] 新開幸一,202305010104
12,7,10,タルマエロマエ,牝3,54.0,Ｍ．デム,1:41.9,3,43.1,8.0,464(+8),[東] 新開幸一,202305010104
1,6,11,アスコルティアーモ,牝3,54.0,ルメール,1:46.1,,1.6,1.0,452(+4),[東] 林徹,202305010105
2,2,3,クインズカムイ,牝3,54.0,浜中俊,1:46.6,3,36.6,9.0,476(-6),[東] 加藤征弘,202305010105
3,4,7,オーヴァルブルーム,牝3,54.0,Ｍ．デム,1:46.7,3/4,10.2,3.0,430(-4),[東] 斎藤誠,202305010105
4,2,4,コントラポスト,牡3,56.0,田辺裕信,1:46.8,クビ,4.8,2.0,458(-2),[東] 菊沢隆徳,202305010105
5,4,8,ダット,牝3,52.0,原優介,1:47.1,2,35.8,8.0,432(0),[東] 小手川準,202305010105
6,7,13,ハイファイヴ,牡3,56.0,菅原明良,1:47.2,1/2,54.6,10.0,506(+4),[東] 堀内岳志,202305010105
7,8,16,ステラデルシエロ,牡3,56.0,石橋脩,1:47.4,1.1/2,21.1,6.0,476(-4),[東] 畠山吉宏,202305010105
8,6,12,ラスブリサス,牡3,56.0,戸崎圭太,1:47.5,クビ,13.8,5.0,520(+2),[東] 中川公成,202305010105
9,3,5,フジリョウエイ,牡3,56.0,菊沢一樹,1:47.7,1.1/4,72.3,11.0,480(-4),[東] 岩戸孝樹,202305010105
10,3,6,ウイニングライブ,牡3,56.0,伊藤工真,1:47.7,ハナ,278.8,15.0,446(+12),[東] 金成貴史,202305010105
11,7,14,リュクススティール,牡3,56.0,横山和生,1:47.9,1.1/4,12.5,4.0,498(-2),[東] 高柳瑞樹,202305010105
12,1,2,ブルーハートリリー,牝3,54.0,武豊,1:48.0,1/2,24.7,7.0,454(-4),[東] 奥平雅士,202305010105
13,8,15,マスターパペット,セ3,56.0,武藤雅,1:48.5,3,246.0,12.0,414(+4),[東] 水野貴広,202305010105
14,5,9,フェスティヴチャン,牝3,54.0,柴田善臣,1:48.8,1.3/4,426.5,16.0,466(0),[東] 根本康広,202305010105
15,1,1,トップガン,牡3,54.0,横山琉人,1:48.9,1/2,276.8,14.0,440(+10),[東] 勢司和浩,202305010105
中,5,10,ロジプロパー,牡3,56.0,内田博幸,,,261.2,13.0,522(+4),[東] 古賀慎明,202305010105
1,2,4,ランプシー,牡3,56.0,浜中俊,1:36.6,,15.8,5.0,462(0),[東] 斎藤誠,202305010106
2,3,5,テンペスト,牝3,54.0,横山武史,1:36.6,アタマ,1.6,1.0,442(0),[東] 国枝栄,202305010106
3,6,11,ムンドエルモソ,牝3,54.0,三浦皇成,1:36.8,1,5.6,2.0,422(0),[東] 鹿戸雄一,202305010106
4,7,13,キタノブライド,牝3,54.0,木幡初也,1:36.8,クビ,10.2,4.0,412(0),[東] 高橋裕,202305010106
5,7,14,ニシノリーデル,牝3,54.0,木幡巧也,1:37.0,1.1/4,58.0,9.0,414(0),[東] 小西一男,202305010106
6,4,8,ビーチポジティヴ,牝3,54.0,柴田善臣,1:37.3,1.1/2,25.2,6.0,456(0),[東] 本間忍,202305010106
7,5,10,サヴァリア,牝3,54.0,津村明秀,1:37.3,ハナ,7.4,3.0,448(0),[東] 小島茂之,202305010106
8,3,6,バレーオブファイア,牡3,56.0,丸田恭介,1:37.4,1/2,122.0,12.0,462(0),[東] 加藤和宏,202305010106
9,8,15,モンセラット,牝3,53.0,永野猛蔵,1:37.6,1.1/4,80.9,10.0,472(0),[東] 斎藤誠,202305010106
10,5,9,ヒーユリユー,牡3,56.0,勝浦正樹,1:37.7,1,130.7,13.0,460(0),[東] 田村康仁,202305010106
11,2,3,スキップアビート,牝3,54.0,杉原誠人,1:37.9,1.1/4,177.0,14.0,374(0),[東] 南田美知,202305010106
12,6,12,インセプション,牡3,56.0,菊沢一樹,1:38.0,1,33.3,8.0,476(0),[西] 西村真幸,202305010106
13,1,1,クリノキスミント,牝3,54.0,長岡禎仁,1:38.1,1/2,246.1,16.0,422(0),[西] 高橋康之,202305010106
14,8,16,ニシノメサイア,牝3,54.0,大野拓弥,1:38.1,アタマ,92.3,11.0,456(0),[東] 田村康仁,202305010106
15,4,7,タニセンレラ,牝3,54.0,武士沢友,1:38.1,ハナ,201.7,15.0,450(0),[東] 鈴木慎太,202305010106
16,1,2,スッピン,牝3,54.0,内田博幸,1:38.1,ハナ,27.8,7.0,470(0),[東] 深山雅史,202305010106
1,8,16,ゲンパチプライド,牡4,57.0,戸崎圭太,1:25.7,,2.6,1.0,496(0),[東] 西田雄一,202305010107
2,5,10,レイデルマール,セ5,56.0,横山琉人,1:26.0,1.3/4,22.7,7.0,502(+20),[東] 相沢郁,202305010107
3,7,13,クロースコンバット,牡4,57.0,津村明秀,1:26.0,ハナ,4.5,2.0,510(0),[東] 青木孝文,202305010107
4,8,15,フミバレンタイン,牝4,52.0,西塚洸二,1:26.1,クビ,36.0,8.0,474(+8),[東] 鹿戸雄一,202305010107
5,1,1,アーレンダール,牝4,55.0,横山武史,1:26.1,アタマ,5.0,3.0,504(0),[東] 宮田敬介,202305010107
6,3,5,ムーヴ,牡4,57.0,石川裕紀,1:26.4,2,7.9,4.0,472(+2),[東] 池上昌和,202305010107
7,2,4,キャプテンローレル,牡4,57.0,三浦皇成,1:26.6,1.1/4,14.6,6.0,474(-2),[東] 田村康仁,202305010107
8,6,12,ニシノコニャック,牡4,57.0,大野拓弥,1:26.6,ハナ,51.8,10.0,464(+12),[東] 伊藤大士,202305010107
9,6,11,ケイツーマルカ,牝5,56.0,菅原明良,1:26.7,1/2,36.2,9.0,518(+18),[東] 鈴木伸尋,202305010107
10,3,6,レッドレジェーラ,セ5,58.0,内田博幸,1:26.8,1/2,153.0,13.0,486(+12),[東] 古賀慎明,202305010107
11,7,14,フォーチュネイト,セ6,56.0,山田敬士,1:26.8,ハナ,105.7,12.0,444(+2),[東] 松永康利,202305010107
12,4,7,リゼレインボー,牡4,57.0,石橋脩,1:27.4,3.1/2,75.5,11.0,484(-2),[東] 松山将樹,202305010107
13,2,3,デュアルキャリアー,牡7,58.0,武豊,1:27.9,3,10.2,5.0,554(+2),[東] 加藤士津,202305010107
14,4,8,マロリン,牝7,56.0,菊沢一樹,1:28.2,1.3/4,351.7,15.0,498(+8),[東] 武市康男,202305010107
15,5,9,マリノプリエール,牝4,54.0,永野猛蔵,1:28.2,ハナ,169.9,14.0,466(+10),[東] 伊藤圭三,202305010107
16,1,2,クリノハニー,牝4,55.0,木幡巧也,1:29.5,8,495.5,16.0,452(+20),[東] 的場均,202305010107
1,1,1,ホウオウバリスタ,牡4,57.0,ルメール,2:11.2,,6.7,3.0,526(+6),[東] 稲垣幸雄,202305010108
2,6,12,キングサーガ,セ6,58.0,戸崎圭太,2:11.7,3.1/2,2.6,1.0,486(+10),[西] 池江泰寿,202305010108
3,1,2,ジャスパーグレイト,牡4,57.0,武豊,2:11.9,1.1/4,4.0,2.0,476(0),[西] 森秀行,202305010108
4,5,10,ヒミノフラッシュ,牡5,58.0,菅原明良,2:12.2,1.3/4,10.3,5.0,558(+2),[西] 川村禎彦,202305010108
5,6,11,ウォーロード,牡5,58.0,田辺裕信,2:13.1,5,21.2,8.0,486(+2),[東] 和田勇介,202305010108
6,7,13,パワーブローキング,牡4,57.0,横山和生,2:13.2,1/2,14.5,6.0,526(+2),[東] 栗田徹,202305010108
7,4,7,アイスシェルフ,牡6,58.0,内田博幸,2:13.3,アタマ,122.3,12.0,544(+4),[東] 稲垣幸雄,202305010108
8,3,6,クールファイブ,牡5,58.0,浜中俊,2:13.5,1.1/4,46.3,10.0,496(+4),[東] 堀内岳志,202305010108
9,4,8,シンヨモギネス,牡5,58.0,横山武史,2:13.8,2,8.3,4.0,488(+8),[東] 伊藤圭三,202305010108
10,5,9,カランセ,牝4,55.0,伊藤工真,2:14.1,2,87.8,11.0,480(+14),[東] 金成貴史,202305010108
11,7,14,ショウサンキズナ,牡4,57.0,三浦皇成,2:14.5,2.1/2,16.8,7.0,518(-4),[西] 松下武士,202305010108
12,8,15,リヴェット,牡5,58.0,大野拓弥,2:14.8,2,129.4,13.0,486(0),[東] 田村康仁,202305010108
13,2,3,ブーケドフルール,牝5,53.0,西塚洸二,2:15.0,3/4,390.8,15.0,428(+6),[東] 畠山吉宏,202305010108
14,8,16,ルーパステソーロ,牡5,58.0,木幡巧也,2:15.1,1/2,30.9,9.0,548(0),[東] 加藤士津,202305010108
15,3,5,エターナルボンド,セ6,57.0,永野猛蔵,2:15.8,4,162.8,14.0,518(-6),[東] 伊藤圭三,202305010108
16,2,4,プロース,牡7,58.0,菊沢一樹,2:16.7,5,532.8,16.0,506(-16),[東] 菊川正達,202305010108
1,2,3,コンシリエーレ,牡4,57.0,ルメール,1:36.8,,1.5,1.0,562(0),[東] 稲垣幸雄,202305010109
2,5,9,ドンカポノ,牡5,55.0,内田博幸,1:37.2,2.1/2,138.3,13.0,532(-6),[西] 庄野靖志,202305010109
3,6,10,ジョディーズマロン,牡5,55.0,戸崎圭太,1:37.3,1/2,23.3,5.0,468(0),[西] 北出成人,202305010109
4,7,13,ケイアイロベージ,セ5,56.0,浜中俊,1:37.4,クビ,9.8,3.0,492(-4),[西] 野中賢二,202305010109
5,4,6,ペイシャクェーサー,牝5,52.0,丸田恭介,1:37.4,クビ,199.9,15.0,476(-2),[東] 蛯名利弘,202305010109
6,4,7,ラズルダズル,牡6,56.0,三浦皇成,1:37.6,1,25.0,6.0,466(-6),[西] 茶木太樹,202305010109
7,8,14,ダッチマン,セ6,55.0,永野猛蔵,1:37.8,1.1/4,97.0,10.0,466(0),[西] 音無秀孝,202305010109
8,8,15,グランツアーテム,牡5,55.0,宮崎北斗,1:37.8,アタマ,12.8,4.0,512(+12),[東] 中川公成,202305010109
9,2,2,ライラボンド,牡4,55.0,長岡禎仁,1:38.1,1.3/4,31.1,7.0,518(+2),[西] 清水久詞,202305010109
10,7,12,カシノブレンド,セ7,55.0,北村宏司,1:38.2,クビ,145.1,14.0,470(-2),[東] 蛯名利弘,202305010109
11,6,11,クリーンスレイト,牡5,57.0,横山武史,1:38.3,1/2,4.9,2.0,484(+4),[東] 久保田貴,202305010109
12,1,1,エターナリー,牡6,55.0,武藤雅,1:39.3,6,41.8,9.0,474(+14),[西] 辻野泰之,202305010109
13,3,5,ヤマメ,牝6,51.0,小林脩斗,1:39.7,2.1/2,111.4,12.0,472(+2),[東] 久保田貴,202305010109
14,3,4,トーセンアラン,牡5,55.0,菅原明良,1:39.8,クビ,40.1,8.0,544(0),[西] 池江泰寿,202305010109
15,5,8,モズピンポン,牡6,54.0,横山和生,1:40.0,1,105.4,11.0,528(+10),[西] 矢作芳人,202305010109
1,6,6,ヤクシマ,牡3,56.0,ルメール,1:21.1,,4.0,3.0,498(-8),[西] 寺島良,202305010110
2,7,7,サトノヴィレ,牡3,56.0,三浦皇成,1:21.2,3/4,14.9,6.0,500(+2),[東] 鹿戸雄一,202305010110
3,7,8,フロムダスク,牡3,56.0,武豊,1:21.5,2,3.5,1.0,492(-8),[西] 森秀行,202305010110
4,2,2,ロードディフィート,牡3,56.0,田辺裕信,1:21.6,3/4,13.4,5.0,438(+10),[東] 和田勇介,202305010110
5,8,9,スムースベルベット,牝3,54.0,嶋田純次,1:21.8,1.1/4,34.9,8.0,490(+4),[東] 手塚貴久,202305010110
6,1,1,ニシノピウモッソ,牡3,56.0,勝浦正樹,1:21.9,クビ,4.3,4.0,464(+2),[東] 西田雄一,202305010110
7,4,4,レイフォール,牡3,56.0,武藤雅,1:21.9,クビ,128.4,10.0,464(-4),[東] 武藤善則,202305010110
8,3,3,クールムーア,牡3,56.0,Ｍ．デム,1:22.0,クビ,29.3,7.0,466(0),[東] 矢野英一,202305010110
9,5,5,ブルーイングリーン,牝3,54.0,山田敬士,1:22.4,2.1/2,100.8,9.0,466(0),[東] 小手川準,202305010110
10,8,10,ブーケファロス,牡3,56.0,菅原明良,1:22.9,3.1/2,3.7,2.0,444(0),[東] 清水英克,202305010110
1,7,7,サリエラ,牝4,54.0,ルメール,1:58.5,,1.8,1.0,422(+2),[東] 国枝栄,202305010111
2,1,1,ドーブネ,牡4,56.0,武豊,1:58.7,1.1/4,3.8,2.0,478(-2),[西] 武幸四郎,202305010111
3,2,2,ヤマニンサルバム,牡4,56.0,浜中俊,1:58.7,アタマ,6.5,3.0,494(-6),[西] 中村直也,202305010111
4,4,4,カレンルシェルブル,牡5,57.0,戸崎圭太,1:58.7,ハナ,8.8,4.0,506(-2),[西] 安田翔伍,202305010111
5,7,8,サトノエルドール,牡7,58.0,菅原明良,1:58.9,1,86.9,8.0,480(+10),[東] 国枝栄,202305010111
6,3,3,トゥーフェイス,牡5,57.0,Ｍ．デム,1:59.2,2,9.3,5.0,506(+10),[東] 新開幸一,202305010111
7,8,10,スーパーフェザー,セ8,57.0,三浦皇成,1:59.3,クビ,289.9,10.0,482(-4),[西] 渡辺薫彦,202305010111
8,5,5,ザイツィンガー,牡7,57.0,津村明秀,1:59.7,2.1/2,214.5,9.0,422(-10),[西] 牧田和弥,202305010111
9,8,9,ヒルノダカール,牡7,57.0,北村宏司,1:59.7,ハナ,72.5,7.0,516(-8),[西] 北出成人,202305010111
中,6,6,サトノフラッグ,牡6,60.0,田辺裕信,,,33.0,6.0,512(+16),[東] 国枝栄,202305010111
1,4,5,マイネルニコラス,牡4,57.0,柴田大知,1:48.3,,8.1,5.0,510(+4),[東] 高橋裕,202305010112
2,5,7,ダイバリオン,牡4,57.0,ルメール,1:48.4,1,2.8,1.0,460(0),[東] 池上昌和,202305010112
3,6,8,ナンヨーアゼリア,牝4,55.0,戸崎圭太,1:48.6,1.1/4,7.1,4.0,426(-4),[東] 手塚貴久,202305010112
4,6,9,ヴィブラツィオーネ,牡4,57.0,Ｍ．デム,1:48.7,クビ,32.5,9.0,478(+6),[東] 辻哲英,202305010112
5,8,12,ローブエリタージュ,牝4,55.0,石川裕紀,1:49.0,2,19.1,7.0,404(+2),[東] 手塚貴久,202305010112
6,1,1,エクスインパクト,セ5,58.0,津村明秀,1:49.1,1/2,18.3,6.0,480(+6),[東] 尾関知人,202305010112
7,4,4,タミオスター,牡4,57.0,田辺裕信,1:49.1,クビ,7.0,3.0,488(+4),[東] 斎藤誠,202305010112
8,8,13,ダンディジャック,牡4,54.0,西塚洸二,1:49.3,1,34.5,10.0,504(-2),[東] 佐藤吉勝,202305010112
9,7,11,テラフォーミング,牡4,55.0,横山琉人,1:49.5,1.1/4,26.4,8.0,484(0),[東] 相沢郁,202305010112
10,7,10,マリネロ,牝4,55.0,横山武史,1:49.5,クビ,3.6,2.0,430(-2),[東] 嘉藤貴行,202305010112
11,3,3,シュガービート,牡4,57.0,菊沢一樹,1:49.7,1.1/4,280.4,13.0,466(+9),[東] 土田稔,202305010112
12,5,6,テイエムオードリー,牝4,55.0,大野拓弥,1:50.2,3,134.4,11.0,472(+6),[東] 加藤和宏,202305010112
13,2,2,セイウンゴールド,牡5,57.0,永野猛蔵,1:50.3,1/2,138.6,12.0,496(-8),[東] 上原博之,202305010112
1,1,1,ジェイケイファイン,牡3,56.0,内田博幸,1:26.8,,4.2,3.0,466(-6),[東] 奥平雅士,202305010201
2,3,6,トレジャートレイル,牡3,56.0,吉田豊,1:26.9,1/2,89.8,10.0,468(+4),[東] 伊坂重信,202305010201
3,6,12,プリヴィエレジェ,牡3,54.0,横山琉人,1:27.1,1,14.7,6.0,468(0),[東] 矢野英一,202305010201
4,4,8,ザングウィル,牡3,56.0,横山武史,1:27.1,ハナ,3.2,1.0,510(+2),[東] 大竹正博,202305010201
5,8,16,マイショウチャン,牡3,56.0,戸崎圭太,1:27.1,ハナ,4.2,2.0,444(-2),[東] 相沢郁,202305010201
6,8,15,キングダラス,牡3,56.0,坂井瑠星,1:27.2,1/2,20.2,8.0,478(+2),[東] 田村康仁,202305010201
7,5,10,デイタム,牡3,56.0,Ｍ．デム,1:27.4,1.1/4,6.6,4.0,500(-2),[東] 鹿戸雄一,202305010201
8,7,14,キープシャイン,牡3,56.0,武藤雅,1:28.6,7,586.0,15.0,446(+8),[東] 中野栄治,202305010201
9,5,9,リネンスピリット,牡3,56.0,柴田大知,1:28.9,1.3/4,10.1,5.0,482(+2),[東] 粕谷昌央,202305010201
10,4,7,セブンハイ,牡3,56.0,北村宏司,1:29.0,1/2,255.4,12.0,502(0),[東] 新開幸一,202305010201
11,7,13,イチズ,牝3,51.0,土田真翔,1:29.1,1,243.9,11.0,414(-6),[東] 菊川正達,202305010201
12,3,5,アンプレッセシチー,牡3,55.0,永野猛蔵,1:29.4,2,18.5,7.0,504(+4),[東] 伊藤圭三,202305010201
13,6,11,アオイカゲ,牝3,52.0,原優介,1:29.9,3,446.7,13.0,472(-8),[東] 小桧山悟,202305010201
14,2,3,ゴールドフォックス,牡3,54.0,山田敬士,1:30.9,6,531.9,14.0,446(0),[東] 小桧山悟,202305010201
中,1,2,パネース,牡3,56.0,木幡巧也,,,42.6,9.0,452(-6),[東] 牧光二,202305010201
除,2,4,コパノエルパソ,牡3,56.0,三浦皇成,,,---,,520(+22),[東] 上原博之,202305010201
1,3,5,メイテソーロ,牡3,56.0,戸崎圭太,2:15.3,,4.0,2.0,488(+6),[東] 武市康男,202305010202
2,4,7,モーメントキャッチ,牡3,56.0,川田将雅,2:15.8,3.1/2,2.1,1.0,496(+4),[東] 武井亮,202305010202
3,5,10,ビップスコーピオン,牡3,56.0,柴田大知,2:16.0,3/4,7.1,4.0,456(+4),[東] 田島俊明,202305010202
4,3,6,バンクサイド,牡3,56.0,木幡初也,2:16.1,3/4,44.4,8.0,516(+8),[東] 竹内正洋,202305010202
5,7,13,ニシノファンフェア,牡3,56.0,内田博幸,2:16.3,1,4.7,3.0,482(0),[東] 和田勇介,202305010202
6,2,4,ウィズフィリップ,牡3,56.0,西村太一,2:16.3,クビ,22.5,5.0,520(+2),[東] 大竹正博,202305010202
7,8,15,セントアイヴス,牡3,56.0,吉田豊,2:17.0,4,37.2,6.0,498(-2),[東] 中舘英二,202305010202
8,8,16,シグナルファイアー,牝3,54.0,武士沢友,2:17.4,2.1/2,328.7,14.0,476(-12),[東] 水野貴広,202305010202
9,4,8,グレイソニック,牡3,56.0,菊沢一樹,2:17.5,1/2,399.6,15.0,506(-6),[東] 鈴木伸尋,202305010202
10,6,11,バトルエンジェル,牝3,54.0,松岡正海,2:17.6,1/2,185.9,13.0,494(-2),[東] 戸田博文,202305010202
11,7,14,ヴァークスティ,牡3,54.0,横山琉人,2:17.7,3/4,179.2,12.0,462(+8),[東] 相沢郁,202305010202
12,6,12,プロテア,セ3,56.0,坂井瑠星,2:17.9,1,46.6,9.0,478(+4),[東] 手塚貴久,202305010202
13,5,9,パープルアドミラル,牡3,56.0,横山和生,2:17.9,クビ,84.7,10.0,440(-14),[東] 堀内岳志,202305010202
14,1,1,ジグラート,牡3,56.0,三浦皇成,2:19.6,10,37.6,7.0,502(+6),[東] 尾関知人,202305010202
15,1,2,ビッグアメリカン,牡3,53.0,西塚洸二,2:20.4,5,482.3,16.0,572(-2),[東] 高橋文雅,202305010202
16,2,3,マイネルボンバー,牡3,54.0,小林脩斗,2:21.8,9,121.9,11.0,458(-10),[東] 武藤善則,202305010202
1,3,6,ニシノパプルブリリ,牝3,54.0,津村明秀,1:39.4,,3.0,2.0,464(+2),[東] 矢野英一,202305010203
2,3,5,ペイシャアンジェロ,牝3,52.0,原優介,1:39.5,1,19.9,6.0,436(0),[東] 伊藤伸一,202305010203
3,5,9,ランスノーブル,牝3,54.0,内田博幸,1:40.0,3,26.1,8.0,440(-2),[東] 上原博之,202305010203
4,4,8,ヒラリーステップ,牝3,54.0,柴田大知,1:40.1,1/2,97.0,11.0,460(-2),[東] 天間昭一,202305010203
